epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.26026,1.1018,3.40176,1.15994,0.00718,1,0.40935,0.3082,0.52102,3.14469,0.90277,0,0,0
2,6.32053,1.11155,3.29887,1.31857,0.00716,1,0.46392,0.39109,0.51673,3.08446,0.87044,1.50197e-05,1.50197e-05,1.50197e-05
3,9.13716,1.14582,3.54465,1.04814,0.00718,1,0.56383,0.49215,0.48763,3.03653,0.84483,2.67387e-05,2.67387e-05,2.67387e-05
4,11.64,0.77914,3.27463,1.0706,0.00715,1,0.63964,0.52797,0.41099,2.9978,0.82226,3.5157e-05,3.5157e-05,3.5157e-05
5,14.4197,1.08556,3.40229,1.09545,0.00705,1,0.6965,0.49209,0.35627,2.9815,0.80345,4.02747e-05,4.02747e-05,4.02747e-05
6,17.1209,0.89448,3.06243,1.22771,0.00692,1,0.995,0.7599,0.31818,2.93265,0.77448,4.20917e-05,4.20917e-05,4.20917e-05
7,19.6,0.99165,3.30345,1.07136,0.00686,1,0.67681,0.65479,0.2816,2.89856,0.75856,4.06081e-05,4.06081e-05,4.06081e-05
8,22.0576,1.40794,3.28002,1.19329,0.00676,1,0.72125,0.68144,0.25059,2.88918,0.74946,3.58238e-05,3.58238e-05,3.58238e-05
9,24.6249,0.67685,2.95603,0.92906,0.00673,1,0.74625,0.69644,0.23369,2.88506,0.74378,2.77389e-05,2.77389e-05,2.77389e-05
10,27.2286,0.95804,3.16574,1.10964,0.00671,1,0.87,0.82018,0.22643,2.88138,0.73704,1.63533e-05,1.63533e-05,1.63533e-05
